Environment,trait,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7,Comp.8,Comp.9,Comp.10,Comp.11,Comp.12,Comp.13,Comp.14,Comp.15,Comp.16,Comp.17,Comp.18,Comp.19,Comp.20
,,,,,,,,,,,,,,,,,,,,,
Ikenne,LODG,-0.930154473945334,-0.20048094795981,0.234794621473641,0.182801926534213,-0.0921541535365888,-0.0791889582794615,0.111188940127743,1,-0.1052401085756,1,0.13040879980173,0.495465034415997,0.0956031195823023,-0.0382606627469971,-0.111886699564131,-0.341266056457666,-0.00690340581240354,0.235326678137615,0.0109205965199126,0.192383922729443
Ikenne,BRNLEV9,-0.044305201178354,-0.917319878553118,-0.621002769123775,0.000610711667787023,-0.00867276020577698,-0.0698886489450373,-0.121493637960595,0.116615582297198,-0.556287814584519,-0.380291005423654,-0.15321926408704,0.552652503294529,-1,-0.0277248751770496,0.807273533651145,-0.375896626554816,0.280778450531765,0.132903403835761,0.00660688560713543,0.101835229762939
Ikenne,PLTHT9,-0.830394507425041,0.375207753163444,-0.572411377179175,0.00301469054826045,-0.0434553909325123,0.0352272428322271,0.342966933003333,-0.0323240159988742,-0.841984401013705,-0.510269840844393,0.193240969048054,-0.178039026309436,0.14275131864658,0.1805035103812,-0.861268366031182,-0.253053165322153,0.780889807153681,0.488777816070018,0.0206701245787025,0.399239400446218
Ikenne,NOHAV,0.673084620540914,0.0565709473347623,-0.495561955886116,0.160288976378666,-0.121250682936796,1,-0.0212939423105074,-0.125265890961917,-0.118602373854837,0.178864743382457,0.37171321310341,0.414791984971647,0.104323669581993,-0.364644304418992,0.0275100943320317,-0.380430778594688,-0.324478477564468,0.255117955866103,0.0127566899200261,0.210082701928687
Ikenne,RTNO,0.870139478864284,0.31142405845355,-0.518915233152209,-0.119063874378729,0.0728215274001741,-0.119393446067887,-0.251844873613435,0.292804683422853,0.174811354911334,0.179907751926809,1,-0.087018276077349,-0.740730558452807,0.309953824156973,-0.523192028568333,0.308654291734309,0.111961658525748,-0.380650590273053,-0.0184962001177493,-0.314834512160561
Ikenne,STARCH,-0.256905764738781,-0.0160730648054741,0.0887532207423065,-1,0.159801400075833,-0.00157426903034169,0.0155692960134001,-0.553751470307822,-0.690244808289785,0.934029017154823,0.0977017598490832,-0.0433261911161903,-0.060787936150472,0.00097787367257112,0.156738115236211,-0.126737344080725,0.0589027717290918,0.0262160588948169,0.00100482674447627,0.0207134578413022
Ikenne,BRNHB9,0.294567578926447,-0.760198128662162,-0.421386932181005,-0.126644241936489,-0.521854436607411,-0.459443969837229,0.0920343388485626,-0.073642971170415,-0.0998424461575438,-0.160842857544088,0.713431635946408,-0.236686881565792,0.671631868878409,-0.597669789007592,0.204201782190335,-0.0141819409643875,-0.186058019034007,0.097642967447598,0.00414074802873004,0.0827809577529197
Ikenne,ANGBR9,-0.441698081417802,0.0802259164182559,-0.143883801275816,0.300166949194935,1,-0.167708312316571,0.06999525875131,-0.0583299676820925,-0.0986425380980128,-0.133650931726001,0.510067957147892,0.029433243555858,0.233655223605243,-0.464213070658735,0.350524351363856,-0.119657749222815,-0.203832035256758,0.113525391111445,0.00548409275164046,0.0939593995054893
Ikenne,STMDI9,-0.812183026772639,0.0228552653470587,-0.721187437141872,-0.0391193241169852,-0.0632982155011026,-0.260042313139036,0.343090479137306,-0.512977998264315,0.923045953304702,0.072740002674867,-0.0631719538965361,0.994926877278276,-0.269339180485132,0.0431530438292707,-0.581419338820045,-0.447195182427178,-0.518875065613977,0.0944383769432911,0.00627869252759724,0.0775380674658878
Ikenne,PPSTD9,0.560332658729558,0.676437380292161,0.238347224583055,-0.403459902748878,0.00483453204062849,-0.245730081304084,-1,0.297860018121728,-0.367832053805413,-0.468579329750776,-0.17329860804094,0.578863167239159,0.116909419980748,-0.224582143704746,-0.268240784686503,-0.613570553023631,-0.469704973006399,0.278454089436448,0.0145995170656482,0.228998919629838
Ikenne,SHTWT,-0.589535156337553,0.221817775162385,-1,-0.117590178330722,-0.00748177427648045,0.059035027950935,-0.532827632476912,0.123050836840842,0.422404505316207,0.15475735723705,-0.201279179082484,-0.475408447234998,0.08909929060315,-0.121091754707776,0.254165861627962,0.348976742315297,0.122928034461327,-0.771293054578566,0.161599292104905,1
Ikenne,RTWT,0.880652591319051,0.168068177766275,-0.608763964068366,0.0357512228424744,0.0911230875296807,-0.124114923103449,0.312921082178811,0.118919755837209,-0.0231915719821497,0.216055594106251,-0.342434891174832,-0.176274779778797,0.20581269772399,-0.103568876714959,-0.0164646871908163,-0.895586328872966,0.217792081131826,-0.206330744489003,0.970038569343662,-0.435031060540686
Ikenne,BRNHT9,-0.184605646069109,1,0.200632697406871,-0.0253837039598832,-0.211111993404964,-0.0591842118782095,0.310629497442868,-0.0149084796110386,0.00964781811226926,-0.011578478221968,0.00234670981239796,0.737062927168054,-0.225707554830325,-1,0.322364872496766,0.571047075877741,0.598930789352859,-0.282030725640042,-0.0155838180501492,-0.232837696935058
Ikenne,PLTHT6,-0.829569612882968,0.364196786653144,-0.564547684512161,0.0287423459801085,-0.124967821459657,0.0513350761065629,0.345210837742899,0.205840785023985,-1,-0.209688297224449,-0.117374225084747,-0.176640317316999,-0.0419358141338066,0.0878441028901903,0.0634844665167998,0.336404268133828,-1,-0.593511339282518,-0.0251454333621443,-0.483690515139173
