"Variable","VIF"
"NDVI",113.488077679586
"I(NDVI^2)",113.661957805462
"PLTHT",74.3131653452132
"I(PLTHT^2)",71.7467407418409
"CHL",68.5349147726288
"I(CHL^2)",68.0926937127961
"ANGBR",12.8184893646895
"I(ANGBR^2)",13.255165745042
"STMDI",112.333240051093
"I(STMDI^2)",109.062566583201
"LODG",6.2263465474005
"I(LODG^2)",6.2950892553865
"NOHAV",53.3532512664073
"I(NOHAV^2)",53.0391017228048
"PPSTD",10.3618906882797
"I(PPSTD^2)",10.2068965077828
