"Term","Estimate","Std_Error","t_value","p_value"
"Intercept",22.5058308108969,11.0998666471971,2.0275766841379,0.0507418280583125
"NDVI3",13.0299506133504,13.9083718113371,0.936842269540802,0.355645758721249
