trial,year_harvest,location,trial_type,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,NOHAV,RTNO,SHTWT,RTWT,DM,STARCH,FYLD,DYLD,TYLD,HI,NDVI3,NDVI6,NDVI9,LODG,PLTHTIII,BRNHTIII,BRNLEVIII,PLTHTVI,BRNHTVI,BRNLEVVI,PLTHTIX,BRNHTIX,BRNLEVIX,CHL3,CHL6,CHL9,ANGBR9,STMDI9,PPSTD9
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1040P0054_1121,TMS18F1040P0054,1121,5,,1,5,21,7,68,28.8,25.6,28.89,14.17,34.13,9.86,38.4,0.47,0.88,0.67,0.69,0,100,53,2,101,60.4,2,113,58,2,49.7,50.03,46.53,82.84,22.278,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1364P0018_1122,TMS18F1364P0018,1122,5,,1,5,22,6,55,21.93,25.3,32.55,19.04,33.73,10.98,29.24,0.54,0.84,0.63,0.62,0,121,42,2,143,50,2,157,55.4,2,54.37,46.23,42.7,,,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-IITA-TMS-IBA30572_1123,IITA-TMS-IBA30572,1123,5,1,1,5,23,5,32,26.9,18.5,27.36,12.13,24.67,6.75,35.87,0.41,0.8,0.54,0.6,0,118.4,54.4,1,140,54.6,2,147,56,3,44.83,46,45.73,99.29,23.096,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1320P0087_1124,TMS18F1320P0087,1124,5,,1,5,24,8,73,18.45,19.99,29.88,15.48,26.65,7.96,24.6,0.52,0.85,0.41,0.57,0,122,69,1,131,67,1,136,72.6,2,45.2,31.7,42.7,72.15,20.186,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1372P0024_1125,TMS18F1372P0024,1125,5,,1,5,25,6,32,29.95,20.8,27.66,12.52,27.73,7.67,39.93,0.41,0.88,0.63,0.71,0,126,,,126,68,2,134,72,2,55.87,47.77,48.2,75.99,20.746,3
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1207P0008_1126,TMS18F1207P0008,1126,6,,1,6,25,8,42,33.65,20.54,32.03,18.35,27.39,8.77,44.87,0.38,0.89,0.59,0.64,2,112,43,2,119,43.4,2,129,43,2,48.33,47.8,41.2,72.02,22.32,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1065P0037_1127,TMS18F1065P0037,1127,6,,1,6,24,8,46,17.15,18.35,31.53,17.68,24.47,7.71,22.87,0.52,0.88,0.37,0.53,0,123,,,122,,,139,,,54.97,39.97,49.4,0,17.67,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1259P0131_1128,TMS18F1259P0131,1128,6,,1,6,23,5,19,22.15,4.89,,,6.52,,29.53,0.18,0.89,0.69,0.72,5,140,21,2,183,19.4,3,186.6,20,4,51.77,50.37,40.9,67.05,20.486,1
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1142P0017_1129,TMS18F1142P0017,1129,6,,1,6,22,8,42,23.65,15.31,32.81,19.39,20.41,6.7,31.53,0.39,0.88,0.54,0.65,0,131,37,2,154,37.4,3,153,37,3,49.13,45.97,43.3,82.62,20.844,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1051P0059_1130,TMS18F1051P0059,1130,6,,1,6,21,7,48,21.9,18.4,33.08,19.75,24.53,8.12,29.2,0.46,0.86,0.41,0.58,0,146,,,153,102.4,1,168,110,1,49.7,48.67,47.3,91.65,24.744,1
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1369P0015_1131,TMS18F1369P0015,1131,6,,1,6,20,9,57,32.3,25.43,31.95,18.23,33.91,10.83,43.07,0.44,0.86,0.54,0.6,0,149,58,2,167,60,3,175,61,3,51,49.1,47.1,87.24,21.31,1
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1205P0010_1132,TMS18F1205P0010,1132,6,,1,6,19,9,56,43.4,21.95,33.09,19.76,29.27,9.69,57.87,0.34,0.89,0.6,0.62,0,152,53.4,2,169,55,3,172,56,3,51.07,49.1,47.43,97.31,22.496,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1520P0050_1133,TMS18F1520P0050,1133,6,,1,6,18,7,33,27.05,17.95,29.15,14.52,23.93,6.98,36.07,0.4,0.9,0.53,0.62,1,129,48,2,132,42.4,2,161,44,3,52,49.07,39.63,100.58,21.806,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1258P0062_1134,TMS18F1258P0062,1134,6,,1,6,17,5,16,20.25,5.6,24.11,7.8,7.47,1.8,27,0.22,0.85,0.38,0.56,4,128,23.4,3,134,24.4,3,143.4,20,3,42.63,41.13,34,84.62,21.612,1
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1353P0023_1135,TMS18F1353P0023,1135,6,,1,6,16,8,75,46.5,26.15,31.61,17.79,34.87,11.02,62,0.36,0.88,0.65,0.64,3,119,46,2,142,55,2,156,52,3,51,46.67,40.3,117.05,22.82,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1208P0005_1136,TMS18F1208P0005,1136,6,,1,6,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.066,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-IITA-TMS-IBA000070_1137,IITA-TMS-IBA000070,1137,6,1,1,6,14,9,63,27.94,30.72,25.69,9.91,40.96,10.52,37.25,0.52,0.9,0.69,0.6,0,106,51,1,122.4,49.4,2,131,48,2,56.87,48.67,45.93,74.31,17.806,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1328P0032_1138,TMS18F1328P0032,1138,6,,1,6,13,6,13,16.46,8.51,29.47,14.94,11.35,3.34,21.95,0.34,0.87,0.54,0.59,3,88,,,109,,,125.4,,,49.73,44.27,43.1,,15.284,3
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1305P0040_1139,TMS18F1305P0040,1139,6,,1,6,12,7,41,30.3,19.7,32.72,19.27,26.27,8.59,40.4,0.39,0.8,0.5,0.69,1,103,,,129,,,135,77,2,54.07,52.9,44.83,78.82,24.556,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1314P0007_1140,TMS18F1314P0007,1140,6,,1,6,11,6,45,34.95,15.15,29.89,15.5,20.2,6.04,46.6,0.3,0.86,0.56,0.62,0,113,45,1,141,47,2,148,46,3,49.9,50.4,41.2,76.07,25.224,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMEB419_1141,TMEB419,1141,6,1,1,6,10,7,48,28.58,15.7,30.48,16.28,20.93,6.38,38.11,0.35,0.87,0.68,0.73,1,120,,,147,,,179,,,53.6,51.77,48.33,0,22.184,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1296P0042_1142,TMS18F1296P0042,1142,6,,1,6,9,6,12,22.55,5.05,24.55,8.39,6.73,1.65,30.07,0.18,0.86,0.55,0.56,4,82,,,101,,,,,,46.17,46,43.07,,,2
