trial,year_harvest,location,trial_type,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,SHTWT,RTWT,DM,STARCH,FYLD,DYLD,HI,NDVI3,NDVI6,NDVI9,LODG,PLTHTIII,PLTHTVI,PLTHTIX,ANGBR9,STMDI9,time
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1138P0030_1216,TMS18F1138P0030,1216,9,,1,9,16,42.7,19.15,30.21,15.92,19.15,5.78,0.31,0.83,0.9,0.79,2,136,202,260,93.57,32.49,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1320P0051_1217,TMS18F1320P0051,1217,9,,1,9,17,13.35,17.14,31.51,17.65,17.14,5.4,0.56,0.81,0.87,0.87,1,114,175,167,0,20.15,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1076P0106_1218,TMS18F1076P0106,1218,9,,1,9,18,3.05,6.45,25.81,10.07,6.45,1.66,0.68,0.73,0.87,0.84,,120,111,136,0,17.03,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1263P0037_1219,TMS18F1263P0037,1219,9,,1,9,19,44.95,23.5,35.26,22.64,23.5,8.29,0.34,0.81,0.88,0.83,1,120,188,277,79.92,25.44,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1132P0078_1220,TMS18F1132P0078,1220,9,,1,9,20,18.55,20.21,37.43,25.53,20.21,7.56,0.52,0.8,0.88,0.79,1,126,173,208,90.32,31.85,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1319P0061_1221,TMS18F1319P0061,1221,9,,1,9,21,17.55,20.8,37.39,25.49,20.8,7.78,0.54,0.77,0.87,0.87,2,99,,,,,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1323P0024_1222,TMS18F1323P0024,1222,9,,1,9,22,10.35,12.9,,,12.9,,0.55,0.77,0.84,0.86,,70,,175,101.1,17.4,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1330P0009_1223,TMS18F1330P0009,1223,9,,1,9,23,17.65,25.1,35.01,22.32,25.1,8.79,0.59,0.78,0.84,0.81,1,104,128,190,97.13,21.71,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1003P0014_1224,TMS18F1003P0014,1224,9,,1,9,24,6.8,13.3,29.28,14.68,13.3,3.89,0.66,0.74,0.83,0.85,,,144,,,,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1489P0044_1225,TMS18F1489P0044,1225,9,,1,9,25,16.4,29.55,29.9,15.51,29.55,8.84,0.64,0.8,0.87,0.84,,100,155,176,82.4,21.12,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1163P0044_1226,TMS18F1163P0044,1226,10,,1,10,25,16.75,27.9,36.47,24.26,27.9,10.18,0.62,0.84,0.87,0.8,3,100,168,219,91.36,21.3,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1163P0035_1227,TMS18F1163P0035,1227,10,,1,10,24,6.55,25.26,27.83,12.75,25.26,7.03,0.79,0.73,0.86,0.85,,83,107,171,100.36,22.61,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1364P0022_1228,TMS18F1364P0022,1228,10,,1,10,23,36.05,32.05,35.96,23.58,32.05,11.53,0.47,0.79,0.89,0.83,1,114,147,208,92.04,29.47,3map
