"Metric","Value"
"R-squared",0.448108011572061
"Adj R-squared",0.436334315818931
"F-statistic",38.0600977779604
"p-value (F-test)",1.29718975653849e-85
"AIC",5376.32502392455
"BIC",5459.88978634916
"RMSE",7.86457519371035
"MAE",6.27266149643102
"N",767
