ENV,ENTRY,BLK,REP,NOHAV,RTNO,SHTWT,RTWT,DM,STARCH,FYLD,DYLD,TYLD,HI,NDVI3,NDVI6,NDVI9,LODG,PLTHTIII,BRNHTIII,BRNLEVIII,PLTHTVI,BRNHTVI,BRNLEVVI,PLTHTIX,BRNHTIX,BRNLEVIX,CHL3,CHL6,CHL9,CHL12,ANGBR9,STMDI9,PPSTD9
onne,TMS18F1349P0064,2,1,10,82,10.1,23.65,28.31,13.4,23.65,6.7,10.1,0.7,0.81,0.87,0.82,,83.00,,,125.00,,,169.00,,,45.17,45.23,46.70,46.60,0.00,20.01,3.20
onne,IITA-TMS-IBA000070,2,1,9,84,21.75,63.25,35.35,22.76,63.25,22.36,21.75,0.74,0.87,0.9,0.82,,126.00,,,164.00,,,228.00,,,52.40,49.73,50.07,49.13,83.53,26.13,2.40
onne,TMS18F1343P0014,2,1,2,12,2.55,5.65,,,5.65,,2.55,0.69,0.81,0.83,0.86,,,,,,,,,,,,,,,,,
onne,TMS18F1076P0121,2,1,10,62,20.15,24.15,37.21,25.25,24.15,8.99,20.15,0.55,0.84,0.89,0.81,,98.00,,,152.00,,,224.00,,,52.13,48.20,49.10,46.90,84.80,23.45,3.20
onne,TMS18F1260P0060,2,1,10,88,12.08,33.4,34.15,21.17,33.4,11.41,12.08,0.73,0.86,0.88,0.74,,83.00,,,110.00,,,139.00,,,44.93,44.00,44.00,47.87,95.27,20.04,3.20
onne,TMS18F1250P0050,2,1,6,52,5.7,18.27,31.59,17.76,18.27,5.77,5.7,0.76,0.75,0.86,0.86,,81.00,,,119.00,,,152.00,80.00,2.40,45.50,44.27,44.83,43.27,92.19,20.85,2.80
onne,TMS18F1026P0009,2,1,7,62,37.45,27.2,33.63,20.48,27.2,9.15,37.45,0.42,0.85,0.91,0.87,2,121.00,91.00,2.60,151.00,108.00,2.80,240.00,128.00,2.60,43.73,47.20,43.10,44.40,90.62,31.01,2.40
onne,TMS18F1338P0013,2,1,9,58,14.3,20.35,29.48,14.95,20.35,6,14.3,0.59,0.86,0.86,0.76,,95.00,44.00,2.60,133.00,,,198.00,97.00,3.00,46.53,46.80,46.90,46.43,,27.95,3.40
onne,TMS18F1421P0025,2,1,3,14,8.65,5.15,,,5.15,,8.65,0.37,0.8,0.85,0.8,2,74.00,,,,,,,,,40.37,45.17,50.60,47.73,,,
onne,TMS18F1174P0011,2,1,5,31,14.24,17.8,34.05,21.04,17.8,6.06,14.24,0.56,0.84,0.84,0.89,2,112.00,,,138.00,100.00,2.40,194.00,106.00,2.40,50.23,46.90,48.47,50.10,101.35,27.11,3.40
onne,TMS18F1064P0027,2,1,8,52,20.25,38.05,31.06,17.06,38.05,11.82,20.25,0.65,0.81,0.87,0.85,,86.00,,,131.00,,,196.00,,,47.57,44.70,46.93,50.13,62.02,25.50,4.20
onne,TMS18F1324P0171,2,1,1,14,3.45,9.5,28.43,13.55,9.5,2.7,3.45,0.73,0.81,0.86,0.85,,,,,,,,,,,47.73,,,,,,
