trial,year_harvest,location,trial_type,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,LODG,BRNLEV9,PLTHT9,NOHAV,RTNO,STARCH,BRNHB9,ANGBR9,STMDI9,PPSTD9,SHTWT,BRNHT9,PLTHT6,FYLD,DYLD,HI,BRNHT6
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1562P0030_1021,TMS18F1562P0030,1021,1,,1,1,21,0,2,170.8333333,9,36,27.53,3,71.71,17.65,2,15.51,71.66666667,171.6666667,10.4,3.4,0.33,100
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1334P0023_1022,TMS18F1334P0023,1022,1,,1,1,22,2,2,172.5,9,51,30,2,68.74,20.87,2,13.8,97,158.3333333,21.9,7.9,0.54,93
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1272P0037_1023,TMS18F1272P0037,1023,1,,1,1,23,0,3,156.6666667,9,37,22.61,3,83.11,20.59,2,15.7,45,141.6666667,15.9,4.1,0.43,35
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1132P0144_1024,TMS18F1132P0144,1024,1,,1,1,24,0,1,114.1666667,8,19,21.54,2,,15.3,2,6.7,75,135,8.9,3.1,0.5,82.5
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1306P0129_1025,TMS18F1306P0129,1025,1,,1,1,25,9,3,226.6666667,9,15,,3,82.83,21.82,3,37.45,132.5,201.6666667,9.1,3,0.15,111.6666667
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1349P0064_1026,TMS18F1349P0064,1026,2,,1,2,25,0,1,142.5,9,61,17.36,3,70.99,19.9,2,9.45,82.5,148.3333333,32.8,8.8,0.72,100.6666667
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-IITA-TMS-IBA000070_1027,IITA-TMS-IBA000070,1027,2,1,1,2,24,1,2,219.1666667,9,37,24,2,77.38,26.94,2,22.75,75,223.3333333,27.1,8.5,0.47,80
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1343P0014_1028,TMS18F1343P0014,1028,2,,1,2,23,6,2,214.1666667,6,13,,2,83.03,24.13,2,14.2,110,215,4.7,0.9,0.2,118.3333333
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1076P0121_1029,TMS18F1076P0121,1029,2,,1,2,22,5,1,171.6666667,8,38,,4,63.97,24.37,2,20.55,123.3333333,181.6666667,20.6,,0.43,133.3333333
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1260P0060_1030,TMS18F1260P0060,1030,2,,1,2,21,0,3,148.3333333,9,65,29.59,3,81.35,18.57,2,12.58,56.66666667,133.3333333,32.9,11.8,0.66,58.33333333
