trial,year_harvest,location,trial_type,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,LODG,BRNLEV9,PLTHT9,NOHAV,RTNO,STARCH,BRNHB9,ANGBR9,STMDI9,PPSTD9,SHTWT,RTWT,BRNHT9,PLTHT6,FYLD,DYLD,TYLD,HI,DM,BRNHT6
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1562P0030_1021,TMS18F1562P0030,1021,1,,1,1,21,,3,241,9,118,23.97,3,78.362,33.53,1,28.55,45.5,128,154,45.5,16.49,28.55,0.61,36.25,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1334P0023_1022,TMS18F1334P0023,1022,1,,1,1,22,,3,200,9,41,24.83,3,112.89,23.45,2,11.85,29.3,145,134,29.3,10.81,11.85,0.71,36.90,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1272P0037_1023,TMS18F1272P0037,1023,1,,1,1,23,,,,6,31,11.89,3,100.552,23.97,2,7.45,14.5,,145,14.5,3.94,7.45,0.66,27.18,115
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1132P0144_1024,TMS18F1132P0144,1024,1,,1,1,24,,,170,6,22,,1,,18.32,5,4.55,5.35,,106,5.35,,4.55,0.54,,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1306P0129_1025,TMS18F1306P0129,1025,1,,1,1,25,,2,245,7,33,22.31,2,76.9,33.88,3,25.35,24.62,219,172,24.62,8.62,25.35,0.49,35.01,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1349P0064_1026,TMS18F1349P0064,1026,2,,1,2,25,,,169,10,82,13.40,1,,20.01,3,10.1,23.65,,125,23.65,6.70,10.1,0.70,28.31,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-IITA-TMS-IBA000070_1027,IITA-TMS-IBA000070,1027,2,1,1,2,24,,,228,9,84,22.76,2,83.53,26.13,2,21.75,63.25,,164,63.25,22.36,21.75,0.74,35.35,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1343P0014_1028,TMS18F1343P0014,1028,2,,1,2,23,,,,2,12,,1,,,,2.55,5.65,,,5.65,,2.55,0.69,,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1076P0121_1029,TMS18F1076P0121,1029,2,,1,2,22,,,224,10,62,25.25,3,84.804,23.45,3,20.15,24.15,,152,24.15,8.99,20.15,0.55,37.21,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1260P0060_1030,TMS18F1260P0060,1030,2,,1,2,21,,,139,10,88,21.17,3,95.266,20.04,3,12.08,33.4,,110,33.4,11.41,12.08,0.73,34.15,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1250P0050_1031,TMS18F1250P0050,1031,2,,1,2,20,,2,152,6,52,17.76,2,92.186,20.85,3,5.7,18.27,80,119,18.27,5.77,5.7,0.76,31.59,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1026P0009_1032,TMS18F1026P0009,1032,2,,1,2,19,2,3,240,7,62,20.48,3,90.62,31.01,2,37.45,27.2,128,151,27.2,9.15,37.45,0.42,33.63,108
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1338P0013_1033,TMS18F1338P0013,1033,2,,1,2,18,,3,198,9,58,14.95,3,,27.95,3,14.3,20.35,97,133,20.35,6.00,14.3,0.59,29.48,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1421P0025_1034,TMS18F1421P0025,1034,2,,1,2,17,2,,,3,14,,3,,,,8.65,5.15,,,5.15,,8.65,0.37,,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1174P0011_1035,TMS18F1174P0011,1035,2,,1,2,16,2,2,194,5,31,21.04,3,101.354,27.11,3,14.24,17.8,106,138,17.8,6.06,14.24,0.56,34.05,100
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1064P0027_1036,TMS18F1064P0027,1036,2,,1,2,15,,,196,8,52,17.06,3,62.02,25.50,4,20.25,38.05,,131,38.05,11.82,20.25,0.65,31.06,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1324P0171_1037,TMS18F1324P0171,1037,2,,1,2,14,,,,1,14,13.55,3,,,,3.45,9.5,,,9.5,2.70,3.45,0.73,28.43,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1277P0045_1038,TMS18F1277P0045,1038,2,,1,2,13,,3,253,7,52,18.71,3,89.226,41.14,2,38.65,26.05,129,188,26.05,8.42,38.65,0.40,32.30,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-IITA-TMS-IBA982101_1039,IITA-TMS-IBA982101,1039,2,1,1,2,12,,2,218,7,46,22.38,3,106.92,29.11,2,16.78,16.15,92,130,16.15,5.66,16.78,0.49,35.06,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1286P0012_1040,TMS18F1286P0012,1040,2,,1,2,11,,,258,8,58,22.71,2,88.67,24.82,3,24.55,35.4,,169,35.4,12.50,24.55,0.59,35.30,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1366P0012_1041,TMS18F1366P0012,1041,2,,1,2,10,,2,223,9,71,15.02,2,94.412,26.21,3,28.85,48.08,121,150,48.08,14.20,28.85,0.62,29.53,86
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1280P0091_1042,TMS18F1280P0091,1042,2,,1,2,9,,2,216,9,100,24.43,3,90.566,29.52,2,27.98,27.45,128,182,27.45,10.05,27.98,0.50,36.60,138
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1396P0053_1043,TMS18F1396P0053,1043,2,,1,2,8,,,170,9,50,21.01,2,81.15,20.23,3,11.12,20.13,,133,20.13,6.85,11.12,0.64,34.03,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-IITA-TMS-IBA980581_1044,IITA-TMS-IBA980581,1044,2,1,1,2,7,1,,,6,52,15.21,1,,29.39,3,21.5,24.6,,168,24.6,7.30,21.5,0.53,29.67,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1520P0039_1045,TMS18F1520P0039,1045,2,,1,2,6,,,,,,,,,,,,,,,,,,,,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1354P0027_1046,TMS18F1354P0027,1046,2,,1,2,5,,2,227,8,88,29.05,2,82.88,24.11,2,29.45,36.8,103,152,36.8,14.75,29.45,0.56,40.07,97
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1355p0038_1047,TMS18F1355p0038,1047,2,,1,2,4,2,2,159,5,22,21.54,2,89.44,28.07,3,11.7,7.05,106,153,7.05,2.43,11.7,0.38,34.43,102
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1069P0023_1048,TMS18F1069P0023,1048,2,,1,2,3,,,251,8,58,24.38,1,,21.39,4,21.85,29.28,,160,29.28,10.71,21.85,0.57,36.56,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1163P0042_1049,TMS18F1163P0042,1049,2,,1,2,2,,2,150,8,64,22.34,2,79.376,22.05,3,18.85,34.26,81,98,34.26,12.00,18.85,0.65,35.03,69
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1365P0018_1050,TMS18F1365P0018,1050,2,,1,2,1,1,,,4,44,23.38,1,,,,12.5,19.5,,151,19.5,6.98,12.5,0.61,35.81,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1319P0033_1051,TMS18F1319P0033,1051,3,,1,3,1,,2,156,10,68,22.53,2,85.15,23.21,2,12.85,29.8,121,127,29.8,10.48,12.85,0.70,35.17,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1004P0008_1052,TMS18F1004P0008,1052,3,,1,3,2,,,195,7,37,25.29,1,,22.30,3,13.35,25.85,,129,25.85,9.63,13.35,0.66,37.25,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1336P0015_1053,TMS18F1336P0015,1053,3,,1,3,3,,,244,11,114,20.43,1,,20.41,4,27.9,43.5,,167,43.5,14.61,27.9,0.61,33.60,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1348P0156_1054,TMS18F1348P0156,1054,3,,1,3,4,1,3,251,7,58,25.38,3,96.75,28.03,5,24.95,32.15,187,174,32.15,12.00,24.95,0.56,37.31,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1068P0063_1055,TMS18F1068P0063,1055,3,,1,3,5,2,,,1,13,,2,,,,4.7,4.15,,,4.15,,4.7,0.47,,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-IITA-TMS-IBA000070_1056,IITA-TMS-IBA000070,1056,3,1,1,3,6,4,,228,9,61,20.48,2,86.54,27.36,2,27.65,39.5,,183,39.5,13.28,27.65,0.59,33.63,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1348P0051_1057,TMS18F1348P0051,1057,3,,1,3,7,1,,172,5,27,17.57,3,94.248,22.18,1,6.4,13.15,,114,13.15,4.14,6.4,0.67,31.45,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1280P0151_1058,TMS18F1280P0151,1058,3,,1,3,8,4,,180,7,38,16.98,3,100.878,22.01,3,11.85,20.1,,154,20.1,6.23,11.85,0.63,31.00,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1215P0027_1059,TMS18F1215P0027,1059,3,,1,3,9,1,,,2,10,,,,,,1.95,2.2,,,2.2,,1.95,0.53,,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1041P0005_1060,TMS18F1041P0005,1060,3,,1,3,10,2,2,165,7,97,26.99,3,103.704,23.71,3,14.39,29.55,103,121,29.55,11.38,14.39,0.67,38.52,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1073P0038_1061,TMS18F1073P0038,1061,3,,1,3,11,1,,,2,9,,2,,,,11.45,4.95,,,4.95,,11.45,0.30,,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-IITA-TMS-IBA30572_1062,IITA-TMS-IBA30572,1062,3,1,1,3,12,2,3,257,6,47,23.65,3,81.98,29.22,3,20.45,26.55,185,141,26.55,9.56,20.45,0.56,36.01,77
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1058P0019_1063,TMS18F1058P0019,1063,3,,1,3,13,3,3,201,6,43,18.63,3,99.362,33.04,2,20.36,13.95,79,136,13.95,4.50,20.36,0.41,32.24,80
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1127P0011_1064,TMS18F1127P0011,1064,3,,1,3,14,,3,180,8,67,19.41,3,88.946,26.33,2,17.7,23.6,84,133,23.6,7.75,17.7,0.57,32.83,73
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1132P0042_1065,TMS18F1132P0042,1065,3,,1,3,15,2,3,250,10,94,23.58,3,84.422,25.42,3,33.45,31.95,136,166,31.95,11.49,33.45,0.49,35.96,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1345P0043_1066,TMS18F1345P0043,1066,3,,1,3,16,1,2,231,7,51,26.06,2,94.924,23.06,3,20.15,22.05,128,138,22.05,8.34,20.15,0.52,37.83,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1472P0042_1067,TMS18F1472P0042,1067,3,,1,3,17,3,2,243,6,56,18.93,2,98.22,32.25,2,40.19,28.6,99,158,28.6,9.29,40.19,0.42,32.47,86
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1481P0009_1068,TMS18F1481P0009,1068,3,,1,3,18,,,161,9,58,20.27,1,,18.05,3,8.4,21.45,,128,21.45,7.18,8.4,0.72,33.47,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1113P0038_1069,TMS18F1113P0038,1069,3,,1,3,19,,2,232,12,94,25.34,3,90.754,25.56,3,41.7,34.55,165,160,34.55,12.88,41.7,0.45,37.28,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1209P0015_1070,TMS18F1209P0015,1070,3,,1,3,20,,,231,8,64,19.88,3,86.156,27.92,2,17.8,27.49,,172,27.49,9.12,17.8,0.61,33.18,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1424P0021_1071,TMS18F1424P0021,1071,3,,1,3,21,2,3,250,7,72,22.05,3,91.908,31.95,2,24.45,34.15,102,174,34.15,11.89,24.45,0.58,34.81,76
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1317P0119_1072,TMS18F1317P0119,1072,3,,1,3,22,,,193,4,32,,3,75.01,19.09,3,5.15,5.5,,126,5.5,,5.15,0.52,,28
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1344P0003_1073,TMS18F1344P0003,1073,3,,1,3,23,,,230,8,67,24.65,3,86.53,23.69,3,14.55,17.49,,172,17.49,6.43,14.55,0.55,36.77,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1339P0012_1074,TMS18F1339P0012,1074,3,,1,3,24,,,191,7,60,25.86,3,90.23,24.60,2,14.32,19,,142,19,7.16,14.32,0.57,37.67,79
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-IITA-TMS-IBA980581_1075,IITA-TMS-IBA980581,1075,3,1,1,3,25,,,236,8,77,16.91,1,3.41,29.24,2,30.15,40.5,,173,40.5,12.54,30.15,0.57,30.95,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1344P0014_1076,TMS18F1344P0014,1076,4,,1,4,25,,,221,4,32,20.27,1,,23.33,3,11.35,20.08,,159,20.08,6.72,11.35,0.64,33.48,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1305P0007_1077,TMS18F1305P0007,1077,4,,1,4,24,1,3,230,9,80,21.53,3,100.452,31.91,3,35.23,35.45,87,145,35.45,12.20,35.23,0.50,34.42,81
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1305P0019_1078,TMS18F1305P0019,1078,4,,1,4,23,,3,279,6,50,17.92,3,84.85,35.46,1,18.29,24.35,130,177,24.35,7.72,18.29,0.57,31.71,121
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1135P0025_1079,TMS18F1135P0025,1079,4,,1,4,22,5,,,3,11,11.09,3,87.01,31.74,1,9.15,6.38,,137,6.38,1.70,9.15,0.41,26.58,92
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1217P0091_1080,TMS18F1217P0091,1080,4,,1,4,21,,,,3,27,19.41,,,,,19.1,24.55,,,24.55,8.06,19.1,0.56,32.83,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1016P0010_1081,TMS18F1016P0010,1081,4,,1,4,20,,,,2,24,16.20,3,,,,1.6,9.45,,,9.45,2.87,1.6,0.86,30.42,
