Genotypes,Replication,ANGBR9,BRNHB9,BRNHT9,BRNHT6,BRNLEV9,DM,DYLD,FYLD,HI,LODG,NOHAV,PLTHT9,PLTHT6,PPSTD9,PT,RTNO,RTWT,SHTWT,STARCH,STMDI9,TYLD,VR
G355,1,77.91561035,2.739597203,91.0884972,95.15156409,1.58737185,33.6994302,7.033208326,20.62769984,0.539773872,1.085951968,8.517444075,158.7844405,163.8004566,1.867914334,2.730772942,38.95998792,15.24791464,12.74384797,25.26225512,21.25781661,17.64737637,2.730772942
G356,1,79.79368921,3.129152712,72.64793486,66.89680056,2.256191819,34.36360385,7.025517103,19.98123704,0.430017685,2.362984717,8.666537595,164.8474838,165.2033676,1.625898492,2.730772942,42.27388401,15.12680489,18.71704404,27.46383611,25.55225489,24.87664655,2.730772942
G357,1,73.60560773,3.156203432,65.61777104,71.74638124,2.428956452,33.31641127,5.624206776,16.1614338,0.557261715,1.495614039,7.089321406,159.8584482,161.7265658,1.560989867,2.730772942,26.18337568,11.5112544,11.23573769,25.52732686,24.47956474,16.10848828,2.730772942
G358,1,78.70105643,2.996159595,82.15434206,91.66736725,2.024014142,32.46063397,7.743064551,24.08759025,0.517438135,1.567185765,8.582498142,181.7781101,192.3949112,1.910391816,2.730772942,49.01633611,18.49165471,15.97816868,25.28187168,23.50265272,21.4828935,2.730772942
G359,1,82.31549995,2.690608136,54.14664775,56.21346175,2.622638374,32.59454784,6.210714441,18.65574615,0.410582896,2.511052644,7.612165272,203.4021039,204.109937,1.382035965,2.730772942,27.54581424,14.2628489,19.59974078,24.46157661,27.22142765,25.52614493,2.730772942
G360,1,81.83026985,3.10126888,54.67272281,60.06693237,2.674531237,35.36907318,7.944340082,17.7516057,0.448051715,2.939635074,8.754900924,147.470233,149.6381811,1.574108835,2.730772942,33.11346338,13.3177306,15.20016807,25.93202774,25.48895158,20.51617112,2.730772942
G361,1,82.36047815,3.185729466,86.53000027,89.44484631,2.145058499,35.77935973,8.146963241,22.42038401,0.465247206,1.968331203,9.010462595,178.7915543,178.786321,1.86863505,2.730772942,42.09519792,16.49994767,19.17908667,28.46748029,24.67090093,25.57850066,2.730772942
G362,1,85.37399459,3.078932538,70.77708609,76.39614852,2.373369881,35.42820041,5.087946377,12.48836876,0.304607259,3.072019732,7.889558066,178.9047327,180.0344743,1.700458266,2.730772942,26.58841984,8.734265168,18.83091307,26.84743572,26.39128168,25.00130369,2.730772942
G363,1,81.32849393,3.071140379,88.2036002,87.90925681,2.305795238,32.531489,7.878480968,24.45156006,0.506360778,2.236266185,8.222516101,184.1721764,179.9529298,1.584745028,2.730772942,34.87196205,18.34068773,16.9553178,24.39990726,26.21778931,23.05703546,2.730772942
G364,1,81.14789681,2.277949289,99.34541668,99.75895552,1.153755013,34.23425044,6.905567603,19.91014157,0.512018813,1.724742047,8.227052373,161.8827833,168.7142418,1.662885021,2.730772942,38.51879095,14.95455731,15.09800456,26.52609383,23.41005331,20.58723395,2.730772942
