trial,location,genotype,LODG,BRNLEV9,PLTHT9,NOHAV,RTNO,STARCH,BRNHB9,ANGBR9,STMDI9,PPSTD9,SHTWT,RTWT,BRNHT9,PLTHT6,FYLD,DYLD,TYLD,HI,DM,BRNHT6
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1189P0013,3,3,165.8333333,9,35,,3,98.94,26.53,1,14.85,13.4,52.5,173.3333333,17.9,6.6,19.8,0.47,37.2,50
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1278P0098,0,1,122.5,9,15,26.56,2,91.11,20.81,2,6.8,6.9,74.5,146.6666667,9.2,3.0,9.1,0.50,32.4,76.66666667
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1319P0121,9,4,210.8333333,9,28,,3,80.17,22.36,2,15.1,7.85,51.66666667,218.3333333,10.5,4.6,20.1,0.34,44.4,36.66666667
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1076P0077,0,2,165,9,47,,3,76.99,25.07,2,11.3,13.55,85.83333333,173.3333333,18.1,6.8,15.1,0.55,37.5,98.33333333
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1409P0008,0,2,441.6666667,9,32,29.99,3,85.7,30.04,1,21.08,18.45,79.16666667,188.3333333,24.6,8.0,28.1,0.47,32.7,98.33333333
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1366P0012,2,3,200,9,14,20.97,2,94.66,24.43,2,16.85,12.95,56.66666667,188.3333333,17.3,5.3,22.5,0.43,30.5,46.66666667
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1163P0042,1,3,145.8333333,9,27,,3,71.82,26.4,2,17.6,25.55,56.66666667,133.3333333,34.1,14.7,23.5,0.59,43.1,50
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1323P0024,0,1,145.8333333,9,56,24.59,3,68.91,21.78,2,16.85,18.2,104,140,24.3,6.7,22.5,0.52,27.8,100
20.GS.C4B.PYT.500.IK,Ikenne,IITA-TMS-IBA000070,1,2,195,9,46,,2,83,26.56,1,24.15,23.55,75.83333333,165,31.4,9.1,32.2,0.49,29,61.66666667
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1028P0030,9,3,202.5,8,14,,3,77.31,25.51,2,23.95,3.2,70.83333333,221.6666667,4.3,1.5,31.9,0.12,36.3,68.33333333
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1340P0030,0,1,169.1666667,9,33,,3,85.91,24.68,1,13.7,14.85,106.6666667,165,19.8,6.8,18.3,0.52,34.1,93.33333333
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1345P0012,0,3,144.5,9,45,25.18,3,74.67,22.22,2,14.65,24.95,23.33333333,145,33.3,12.6,19.5,0.63,37.9,11.66666667
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1005P0023,3,2,115.8333333,9,26,,3,76.66,20.62,1,5.55,6.45,40.33333333,106.6666667,8.6,3.1,7.4,0.54,35.6,50
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1308P0082,0,1,135.8333333,9,29,25.64,2,,24.65,2,10.9,15.95,66.25,131.6666667,21.3,6.3,14.5,0.59,29.6,77.5
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1298P0017,0,2,188.3333333,5,29,25.33,4,75.14,25.03,1,10.75,16.6,90,183.3333333,22.1,6.3,14.3,0.61,28.3,90
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1312P0039,0,3,213.3333333,9,43,,3,87.83,29.13,2,22.9,11.5,103.3333333,213.3333333,15.3,4.5,30.5,0.33,29.6,102.3333333
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1352P0049,0,2,208.3333333,9,35,21.71,3,86.75,28.14,2,15.45,20.3,103.3333333,218.3333333,27.1,7.9,20.6,0.57,29.3,106.6666667
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1345P0056,0,3,213.3333333,9,83,,3,93.79,25.85,1,25.55,34.05,75,191.6666667,45.4,11.9,34.1,0.57,26.3,36.66666667
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1047P0046,0,2,165,8,45,25.83,3,92.65,24.17,1,13.5,14.2,73.33333333,173.3333333,18.9,5.4,18.0,0.51,28.5,91.66666667
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1217P0075,0,2,135,4,18,34.26,3,86.17,22.77,2,11.1,6.65,68.33333333,133.3333333,8.9,3.4,14.8,0.37,37.8,68.33333333
20.GS.C4B.PYT.500.IK,Ikenne,IITA-TMS-IBA980581,0,1,156.6666667,9,37,,2,,24.55,2,20.9,12.65,99,153.3333333,16.9,,27.9,0.38,,115
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1048P0023,2,1,140,6,15,,1,,24.47,2,9.8,3.85,50,148.3333333,5.1,2.0,13.1,0.28,38.8,97.5
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1353P0038,0,0,221.6666667,9,54,25.46,1,,25.02,2,23.1,22.2,,216.6666667,29.6,11.3,30.8,0.49,38.2,
20.GS.C4B.PYT.500.IK,Ikenne,IITA-TMS-IBA30572,4,2,181.6666667,9,18,22.86,3,89.74,30.9,2,22.85,29.55,113.6666667,181,39.4,12.1,30.5,0.56,30.7,101.6666667
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1447P0045,1,2,224.1666667,9,40,,3,83.54,24.72,3,10.8,9.8,132.5,233.3333333,13.1,4.2,14.4,0.48,31.8,153.3333333
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1342P0017,0,2,125.8333333,9,32,25.44,3,74.38,18.29,3,10.05,17.9,78.33333333,120,23.9,7.5,13.4,0.64,31.6,88.33333333
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1258P0062,3,3,138.75,0,,,,,,,5.5,6.75,40,135,9.0,,7.3,0.55,,23.33333333
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1318P0018,0,1,183.3333333,9,27,,3,,26.11,2,6.9,6.3,101.6666667,176.6666667,8.4,3.0,9.2,0.48,35.8,101.6666667
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1313P0053,0,2,191.6666667,9,42,30.08,3,88.81,27.55,1,18.4,28.2,91.66666667,188.3333333,37.6,16.5,24.5,0.61,43.9,93.33333333
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1343P0064,0,2,179.1666667,9,55,34.85,3,81.52,22.93,1,13.2,18.05,103,161.6666667,24.1,8.7,17.6,0.58,36,101.6666667
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1291P0014,0,3,194.1666667,9,37,,2,70.51,19.82,2,19.15,19,52.5,188.3333333,25.3,8.3,25.5,0.50,32.6,20
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1296P0071,1,2,225,9,20,,3,77.61,30.43,1,13.9,9.05,99,225,12.1,5.1,18.5,0.39,42.4,88.33333333
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1217P0111,0,0,135.8333333,9,23,,1,,22.87,2,11.5,6.25,85,136.6666667,8.3,2.7,15.3,0.35,32.8,
20.GS.C4B.PYT.500.IK,Ikenne,TMS13F1343P0044,0,1,120,9,52,23.39,3,73.94,20.32,3,12.45,24.55,75,112.3333333,32.7,9.5,16.6,0.66,28.9,80
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1481P0015,9,1,101.6666667,9,4,,3,70.46,17.97,2,12.25,1.95,53.33333333,100,2.6,1.1,16.3,0.14,40.4,77.5
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1127P0010,0,4,186.6666667,9,58,23.07,3,77.3,26.31,2,19.2,20.45,45,185,27.3,8.3,25.6,0.52,30.5,46.66666667
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1068P0063,4,3,165.8333333,9,11,,2,71.64,25.4,2,10.25,2.8,46.66666667,170,3.7,0.9,13.7,0.21,25.2,53.33333333
20.GS.C4B.PYT.500.IK,Ikenne,UNKNOWN2,1,1,236.6666667,9,70,,1,,30.39,2,28.55,18.85,190,245,25.1,8.5,38.1,0.40,33.7,180
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1040P0054,0,2,168.3333333,3,37,,,,,,9.25,12.4,67.5,153.3333333,16.5,5.4,12.3,0.57,32.7,62.5
20.GS.C4B.PYT.500.IK,Ikenne,IITA-TMS-IBA000070,0,2,208.3333333,9,60,24.36,3,85.73,28.19,2,21.75,31.4,78.33333333,191.6666667,41.9,12.0,29.0,0.59,28.7,75
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1505P0047,1,2,204.1666667,8,25,,3,86.26,29.89,1,21.45,12.8,95,270,17.1,5.4,28.6,0.37,31.7,93.33333333
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1489P0044,0,3,159.1666667,9,48,21.02,3,74.1,22.52,1,15.15,19.95,58.33333333,136.6666667,26.6,7.8,20.2,0.57,29.3,61.66666667
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1348P0131,0,2,198.3333333,9,36,,2,88.55,23.73,1,15.35,18.8,68.33333333,203.3333333,25.1,9.1,20.5,0.55,36.4,38.33333333
20.GS.C4B.PYT.500.IK,Ikenne,TMS13F1020P0001,7,2,138.3333333,8,21,,3,75.12,26.9,1,10.45,11.65,45,116.6666667,15.5,5.7,13.9,0.53,36.6,41.66666667
20.GS.C4B.PYT.500.IK,Ikenne,IITA-TMS-IBA980581,1,1,167.5,9,43,,2,,24.59,2,15.2,15.4,102,161.6666667,20.5,5.8,20.3,0.50,28.4,107.5
20.GS.C4B.PYT.500.IK,Ikenne,TMS13F1307P0016,0,2,162.5,9,44,25.19,3,87.9,22.18,1,11.6,23.25,59.16666667,148.3333333,31.0,10.4,15.5,0.67,33.7,63.33333333
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1336P0015,0,2,169.1666667,9,64,33.59,3,79.45,22.55,3,15.85,31.95,61.66666667,156.6666667,42.6,18.4,21.1,0.67,43.3,57
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1113P0038,0,3,209.1666667,9,56,28.39,3,90.27,28.19,2,21.55,27.35,93.33333333,191.6666667,36.5,13.6,28.7,0.56,37.2,83.33333333
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1258P0147,0,4,208.3333333,9,74,30.52,3,90.17,26.47,1,23.95,23.55,63.33333333,188.3333333,31.4,12.4,31.9,0.50,39.5,35
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1447P0078,6,3,134.1666667,9,11,,3,79.75,18.58,1,13.15,1.95,17.5,153.3333333,2.6,0.8,17.5,0.13,31.3,21.66666667
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1305P0039,1,4,191.6666667,9,27,26.38,3,106.74,25.89,2,18.5,30.55,27.5,168.3333333,40.7,14.0,24.7,0.62,34.3,13.33333333
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1295P0023,4,0,224.1666667,0,,,1,,26.14,2,24.35,1,,213.3333333,1.3,0.5,32.5,0.04,37.7,
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1349P0064,0,2,170.8333333,9,59,22.13,3,,22.57,2,13.25,24.7,105,156.6666667,32.9,9.2,17.7,0.65,28,98.33333333
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1414P0017,3,3,180.8333333,9,50,25.71,3,68.22,23.24,2,17.8,22.3,65.83333333,165,29.7,10.5,23.7,0.56,35.3,53.33333333
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1308P0114,0,3,176.6666667,9,33,27.01,3,63.39,20.4,2,12.8,14.75,59.16666667,175,19.7,6.0,17.1,0.54,30.3,21.66666667
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1296P0042,4,3,224.8333333,9,39,18.95,3,96.75,26.84,2,16.2,16.6,77.5,216.6666667,22.1,6.3,21.6,0.51,28.5,65
20.GS.C4B.PYT.500.IK,Ikenne,IITA-TMS-IBA982101,0,2,147.5,9,16,26.7,3,84.21,29.16,1,21.75,13.55,57.5,141.6666667,18.1,6.2,29.0,0.38,34.5,26.66666667
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1335P0001,0,2,129.1666667,9,17,,3,70.44,22.33,1,11.15,5.95,61.16666667,138.3333333,7.9,2.7,14.9,0.35,34.5,56.66666667
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1478P0047,0,2,152.5,9,89,21.96,4,84.45,27.37,1,15.4,31.25,106.3333333,160,41.7,10.0,20.5,0.67,24.1,98.33333333
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1319P0100,1,2,156.6666667,9,97,,3,67.24,26.95,2,17.35,17.85,95.83333333,173.3333333,23.8,8.3,23.1,0.51,34.8,90
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1506P0018,0,2,210.8333333,9,74,27.52,3,80.84,28.08,2,24.45,32.1,102.5,215,42.8,14.0,32.6,0.57,32.8,101.6666667
20.GS.C4B.PYT.500.IK,Ikenne,IITA-TMS-IBA30572,2,2,217.5,9,75,,3,87.86,32.37,2,16.5,8.2,105,210,10.9,3.2,22.0,0.33,29.2,111
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1355p0038,7,3,261.6666667,9,60,,3,80.53,26.81,2,34.55,21.2,87.33333333,260,28.3,10.4,46.1,0.38,36.9,71.66666667
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1038P0010,0,2,134.1666667,9,74,,3,80.63,20.89,1,11.7,27.1,60.83333333,118.3333333,36.1,12.0,15.6,0.70,33.3,56.66666667
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1324P0107,0,0,184.1666667,9,74,23.78,1,,24.66,3,18.9,30.4,143.3333333,166.6666667,40.5,14.1,25.2,0.62,34.7,
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1539P0063,0,2,176.6666667,9,41,21.44,3,77.78,26.31,2,18.25,15.25,76.66666667,161.6666667,20.3,6.2,24.3,0.46,30.6,95
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1348P0024,0,1,160.8333333,9,51,18.15,3,75.96,24.54,2,14.4,12.55,106.4,156.6666667,16.7,3.7,19.2,0.47,22.2,105
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1359P0001,0,2,237.5,9,82,,3,80.72,25.66,2,30.45,40.55,105.8333333,215,54.1,19.1,40.6,0.57,35.4,100
20.GS.C4B.PYT.500.IK,Ikenne,TMEB419,5,0,233.3333333,,0,25.41,1,,25.41,1,18,5.7,180,218.3333333,7.6,2.7,24.0,0.24,35.9,
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1314P0026,0,3,240,9,44,,3,93.94,30.03,1,27,17.7,76.66666667,220,23.6,9.1,36.0,0.40,38.6,75
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1345P0043,0,1,202.5,9,62,,3,83.97,26.72,2,20.35,21.5,139,181.6666667,28.7,11.5,27.1,0.51,40.1,128
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1001P0020,0,2,190.8333333,9,37,28,3,97.04,26.11,2,18.25,18.15,99.16666667,190,24.2,7.9,24.3,0.50,32.5,103.3333333
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1312P0033,0,2,188.3333333,9,54,29.04,3,84.59,27.21,2,24.15,20.95,75.83333333,176.6666667,27.9,10.8,32.2,0.46,38.8,78.33333333
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1348P0039,4,1,182.5,7,17,25.43,2,82.92,29.33,1,12.7,8.45,119.1666667,160,11.3,3.6,16.9,0.40,31.6,111.6666667
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1505P0057,0,0,143.3333333,9,43,25.43,1,,21.83,2,14.4,20.65,,148.3333333,27.5,7.4,19.2,0.59,26.8,
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1076P0117,0,0,140.8333333,0,5,,1,,14.09,2,8.55,10.05,,140,13.4,5.6,11.4,0.54,41.6,
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1395P0055,1,2,133.3333333,9,36,,2,81.29,20.39,2,10.55,13.55,50,143.3333333,18.1,8.5,14.1,0.56,46.8,51.33333333
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1343P0014,2,2,199.1666667,5,10,,2,,26.01,2,7.75,2.9,96.25,193.3333333,3.9,0.9,10.3,0.27,22.1,100
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1277P0007,0,3,174.1666667,8,45,23.35,3,77.69,23.93,1,12.55,14.3,12.5,160,19.1,6.0,16.7,0.53,31.7,16.66666667
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1076P0001,7,3,225.8333333,9,17,,2,87.75,28.87,2,19.65,3.75,69.16666667,226.6666667,5.0,2.0,26.2,0.16,40.4,55
