Genotypes,Replication,LODG,BRNLEV9,PLTHT9,NOHAV,RTNO,STARCH,BRNHB9,ANGBR9,STMDI9,PPSTD9,SHTWT,RTWT,BRNHT9,PLTHT6,FYLD,DYLD,TYLD,HI,DM,BRNHT6
TMS18F1395P0055,1,3,3,137,9,84,20.28,3,72.38,21.318,1,28.3,19.8,37,126,26.40,8.84,37.73,0.41,33.48,37
TMS18F1447P0045,1,3,2,202,7,22,13.33,2,81.64,20.202,1,15.2,7.85,115,184,10.47,2.96,20.27,0.34,28.26,119
TMS18F1076P0112,1,1,4,168,9,35,20.71,2,92.85,19.654,2,35.6,14.2,26,158,18.93,6.40,47.47,0.29,33.81,24.6
TMS18F1055P0044,1,5,4,205,8,33,18.83,3,76.44,22.014,3,36.02,13.35,39,203,17.80,5.77,48.03,0.27,32.40,40
TMS18F1506P0018,1,0,2,173,9,75,19.12,2,83.07,22.222,2,24.71,18.12,102,149,24.16,7.88,32.95,0.42,32.61,101
IITA-TMS-IBA980581,1,3,1,166,9,61,8.97,3,76.30,24.146,3,27.25,18.4,117.6,152,24.53,6.13,36.33,0.40,24.99,114
TMS18F1295P0034,1,1,,,3,18,10.36,,,,2,9.45,6.05,,,8.07,2.10,12.60,0.39,26.03,
TMS18F1302P0018,1,1,2,102,5,25,17.23,2,70.07,14.606,2,9.22,7.15,21,94,9.53,2.97,12.29,0.44,31.19,21
TMS18F1132P0083,1,0,3,123,5,48,12.74,3,83.74,20.6,2,25.66,14.4,31,113,19.20,5.34,34.21,0.36,27.82,30
TMS18F1476P0047,1,0,3,128,9,75,20.06,2,74.56,19.712,2,27.15,21.75,29,121,29.00,9.66,36.20,0.44,33.32,28
TMS18F1048P0023,1,4,1,157,5,28,10.94,3,70.50,23.868,2,21.95,7.75,64,142,10.33,2.74,29.27,0.26,26.47,66
TMS18F1391P0004,1,0,,111,8,74,16.53,3,41.36,17.476,3,23.03,33.15,,92,44.20,13.55,30.71,0.59,30.66,
TMS18F1324P0089,1,0,,103,8,38,14.59,1,,16.698,3,21.6,17.5,,93.4,23.33,6.82,28.80,0.45,29.21,
IITA-TMS-IBA000070,1,1,2,113,9,67,11.29,3,74.86,19.522,2,29.52,40.1,54,100,53.47,14.29,39.36,0.58,26.73,50.4
TMS18F1395P0038,1,0,,,2,16,16.65,,,,2,9.85,12.3,,,16.40,5.04,13.13,0.56,30.75,
TMS18F1395P0010,1,2,,164,9,87,8.00,1,,20.954,2,40.26,45.4,,159,60.53,14.69,53.68,0.53,24.26,
TMS18F1138P0035,1,1,,,4,12,18.59,,,,2,12.2,8.55,,,11.40,3.67,16.27,0.41,32.21,
TMS18F1306P0149,1,6,2,189,6,15,,2,77.95,19.088,2,25.85,5.45,76,157,7.27,,34.47,0.17,,74
TMS18F1280P0136,1,1,,,3,10,,,,,1,13.58,4.12,,,5.49,,18.11,0.23,,
TMS13F1160P0004,1,2,,,4,19,16.31,,,,3,27.25,11.07,,,14.76,4.50,36.33,0.29,30.50,
NR130124,1,0,1,119,9,50,4.98,2,74.80,21.432,1,49.53,23.04,67,108,30.72,6.76,66.04,0.32,21.99,66
TMS13F1307P0016,1,1,3,108,4,28,15.58,3,77.24,19.824,1,16.75,11.43,61,98,15.24,4.56,22.33,0.41,29.95,52.4
TMS13F1020P0001,1,3,3,101,5,18,,2,68.98,21.046,1,14.8,5.11,33,90,6.81,,19.73,0.26,,33
TMS13F1343P0022,1,1,2,113,9,73,21.26,3,74.29,18.032,2,31.21,21.4,50,107,28.53,9.76,41.61,0.41,34.22,56
IITA-TMS-IBA000070,1,1,1,112,7,61,12.41,3,73.59,17.464,2,22.45,24.43,66,100,32.57,8.98,29.93,0.52,27.57,67
TMS13F1343P0044,1,0,,102,8,50,17.07,1,,16.26,3,23.6,23.34,,91.6,31.12,9.67,31.47,0.50,31.07,
TMS18F1334P0003,1,0,2,112,8,57,17.89,3,80.69,18.722,2,20.53,26,68,100,34.67,10.98,27.37,0.56,31.69,67
TMS18F1318P0054,1,1,,134,8,56,18.30,2,39.46,21.198,2,32.71,18.96,,131.2,25.28,8.09,43.61,0.37,32.00,
TMS18F1323P0041,1,0,2,112,9,65,18.20,3,70.71,17.386,3,26.9,20.2,33,104,26.93,8.60,35.87,0.43,31.92,30.4
TMS18F1329P0011,1,2,,124,6,35,16.55,2,50.66,17.112,3,21.76,16.73,,109,22.31,6.84,29.01,0.43,30.68,
TMS18F1225P0030,1,,,,,,,,,,,,,,,,,,,,
IITA-TMS-IBA30572,1,2,2,139,6,45,10.86,3,86.89,22.338,2,35.48,23.25,45,123,31.00,8.19,47.31,0.40,26.41,46
TMS18F1152P0003,1,3,2,122,5,42,13.64,3,71.54,18.512,3,18.33,10.13,50,103,13.51,3.85,24.44,0.36,28.49,45
TMS18F1038P0010,1,2,2,97,5,31,15.76,2,78.48,13.852,2,17.63,14.15,29,90,18.87,5.68,23.51,0.45,30.09,29
TMS18F1044P0013,1,5,2,142,6,22,16.32,4,73.03,21.65,1,23.54,14.03,59,127,18.71,5.71,31.39,0.37,30.51,54.4
TMS18F1047p0012,1,1,3,136,5,31,16.99,3,84.50,19.82,2,13.67,14.1,61,127,18.80,5.83,18.23,0.51,31.01,60
TMS18F1178P0010,1,0,3,149,9,68,18.37,3,85.11,19.668,2,30.93,33.15,46,146,44.20,14.16,41.24,0.52,32.05,48
TMS18F1324P0046,1,0,2,133,7,36,9.91,3,86.79,20.024,3,24.35,16.42,74,134,21.89,5.63,32.47,0.40,25.69,70
