Genotypes,Replication,LODG,BRNLEV9,PLTHT9,NOHAV,RTNO,STARCH,BRNHB9,ANGBR9,STMDI9,PPSTD9,SHTWT,RTWT,BRNHT9,PLTHT6,FYLD,DYLD,TYLD,HI,DM,BRNHT6
TMS18F1308P0077,2,2,4,155,9,75,21.01,2,74.78,19.088,1,33.34,23.8,31,142,31.73,10.80,44.45,0.42,34.03,24
TMS18F1280P0126,2,2,3,156,8,55,15.68,3,80.20,24.3,2,31.46,14.35,55,142,19.13,5.74,41.95,0.31,30.03,51
TMS18F1278P0068,2,1,2,205,8,55,15.97,2,93.48,26.118,3,44.35,17.25,111,182.4,23.00,6.96,59.13,0.28,30.24,103
TMS18F1343P0153,2,4,2,156,8,53,19.05,3,73.81,22.396,3,31.53,18.55,85.4,149,24.73,8.05,42.04,0.37,32.55,65
IITA-TMS-IBA30572,2,2,2,157,6,34,11.48,3,90.04,23.702,2,22.8,7.6,86,149,10.13,2.72,30.40,0.25,26.87,78
TMS18F1065P0037,2,0,1,161,8,81,20.34,3,69.95,21.496,2,30.12,33.25,107,150,44.33,14.86,40.16,0.52,33.52,106.8
TMS18F1302P0018,2,1,2,139,7,42,19.85,3,74.54,22.062,2,20.5,15.45,38,134,20.60,6.83,27.33,0.43,33.16,40
TMS18F1280P0136,2,2,3,149,7,32,17.74,2,91.70,19.172,2,18.85,11.7,57,145.4,15.60,4.93,25.13,0.38,31.57,58
TMS18F1127P0011,2,0,3,147,9,80,17.75,3,78.33,22.746,2,40.5,34.35,58,137.4,45.80,14.46,54.00,0.46,31.58,45
TMS18F1076P0106,2,0,,151,8,68,17.88,3,86.47,21.168,1,26.12,27.2,,144,36.27,11.49,34.83,0.51,31.68,
TMS18F1003P0009,2,0,3,166,7,53,19.31,3,69.50,22.274,2,34.88,19.3,54,158,25.73,8.43,46.51,0.36,32.76,27.2
TMS18F1323p0025,2,0,3,169,9,69,24.07,3,72.02,17.854,3,34.15,27.1,41,165,36.13,13.13,45.53,0.44,36.32,43
TMS18F1353P0023,2,4,3,165,9,55,16.32,3,90.37,26.572,2,31.51,17,70,149,22.67,6.91,42.01,0.35,30.51,67
TMS18F1320P0101,2,0,4,164,7,57,16.40,3,81.68,23.388,2,31.64,16.55,35,160,22.07,6.75,42.19,0.34,30.57,38
TMS18F1179P0029,2,0,2,171,9,101,20.56,3,78.72,21.1,3,34.12,25.15,94,160,33.53,11.30,45.49,0.42,33.69,84
TMS18F1291P0026,2,0,4,169,8,62,21.85,2,65.33,20.092,1,32.49,20.5,15,162,27.33,9.47,43.32,0.39,34.66,18
TMS18F1319P0159,2,1,3,176,9,48,17.25,3,91.10,21.872,2,39.23,18.4,47,162,24.53,7.66,52.31,0.32,31.21,47
IITA-TMS-IBA982101,2,0,2,170,9,68,14.44,2,80.93,21.352,2,59.11,26.5,42,160,35.33,10.28,78.81,0.31,29.10,41.4
TMS18F1277P0045,2,,,,,,,,,,2,,,,,,,,,,
TMS18F1305P0019,2,4,3,156,7,59,9.88,2,81.59,22.608,2,28.02,23.1,42,150,30.80,7.91,37.36,0.45,25.67,37
TMS18F1389P0021,2,3,2,151,5,33,9.60,3,74.00,23.688,2,27.76,12.1,77,128,16.13,4.11,37.01,0.30,25.46,70.8
TMS18F1295P0030,2,0,,,3,15,14.64,,,,1,21.43,13.3,,,17.73,5.19,28.57,0.38,29.25,
TMS18F1191P0002,2,2,,,2,10,,,,,2,11.78,3.7,,,4.93,,15.71,0.24,,
TMS18F1217P0091,2,0,,,2,9,12.81,,,,2,10.9,7,,,9.33,2.60,14.53,0.39,27.87,
TMS18F1058P0019,2,3,3,115,3,20,12.10,3,78.11,22.318,1,23.69,6.3,29,101,8.40,2.30,31.59,0.21,27.34,27
TMS18F1305P0031,2,0,3,151,6,54,16.36,3,73.68,19.894,2,41.22,25,57,141.4,33.33,10.18,54.96,0.38,30.54,57
TMS18F1327P0006,2,0,,138,6,41,17.04,2,50.50,17.804,2,18.6,14.45,,110,19.27,5.98,24.80,0.44,31.05,
TMS18F1395P0038,2,2,,,3,24,16.97,,,,2,15.05,12.35,,,16.47,5.10,20.07,0.45,31.00,
TMS18F1344P0147,2,1,,,4,12,,,,,1,16.35,5.2,,,6.93,,21.80,0.24,,
IITA-TMS-IBA000070,2,4,1,118,7,42,11.51,2,72.56,21.136,2,22.55,23.55,45,96.4,31.40,8.44,30.07,0.51,26.89,42
TMS18F1365P0018,2,3,,148.4,9,42,13.87,1,,21.19,2,37.35,15.85,,114.6,21.13,6.06,49.80,0.30,28.67,
TMS18F1335P0021,2,0,1,122,3,15,14.37,,,,2,11.96,13.28,76,110,17.71,5.14,15.95,0.53,29.05,77
TMS18F1260P0060,2,0,,,3,25,14.12,,,,2,16.15,10.4,,,13.87,4.00,21.53,0.39,28.85,
TMS18F1327P0013,2,1,3,107,7,39,15.69,2,78.63,18.2,2,28.93,16.6,12,97,22.13,6.65,38.57,0.36,30.03,17
TMS18F1178P0046,2,0,,127,9,78,18.00,1,14.96,19.27,2,34.08,32.5,,110,43.33,13.77,45.44,0.49,31.77,
TMS18F1217P0114,2,,,,,,,,,12.856,2,,,,,,,,,,
TMS18F1355p0030,2,1,,101,4,47,16.39,2,63.47,13.682,2,17.7,15,,100,20.00,6.11,23.60,0.46,30.56,31
TMS18F1489P0040,2,0,4,148,5,34,12.51,2,73.92,18.732,2,57.02,18,18,131,24.00,6.64,76.03,0.24,27.65,23
TMS18F1132P0042,2,3,2,123,7,45,16.57,2,57.50,18.39,2,22.65,14.3,80,112,19.07,5.85,30.20,0.39,30.70,
TMS18F1132P0083,2,4,,,4,20,19.49,,,,3,18.55,9,,112,12.00,3.95,24.73,0.33,32.89,42
IITA-TMS-IBA000070,2,3,2,143,8,63,15.61,3,73.57,22.576,2,33.07,36.8,50,125,49.07,14.71,44.09,0.53,29.97,46
TMS18F1319P0041,2,0,3,126,5,34,19.52,3,77.97,22.45,2,20.3,12.1,42.6,111,16.13,5.31,27.07,0.37,32.91,40.6
TMS18F1090P0031,2,0,,,2,23,14.26,,,,1,26.25,7.65,,,10.20,2.95,35.00,0.23,28.96,
TMS18F1520P0039,2,,,,,,,,,,,,,,,,,,,,
TMS18F1353p0017,2,3,,115,7,54,16.28,2,62.73,20.464,2,37.82,22.3,,105,29.73,9.06,50.43,0.37,30.48,74.8
TMS18F1082P0024,2,1,3,127,9,68,21.66,2,77.25,21.642,2,43.28,31.45,31,117,41.93,14.48,57.71,0.42,34.52,30.8
TMS18F1149P0024,2,6,4,141,6,32,13.79,3,79.90,20.952,2,36.43,16.35,27,132,21.80,6.24,48.57,0.31,28.61,28
TMS18F1344P0159,2,0,3,127,9,74,18.15,2,90.28,20.74,1,29.7,25.45,37,114,33.93,10.82,39.60,0.46,31.88,38
TMS18F1331P0013,2,0,3,176,7,63,7.01,3,79.95,26.14,1,30.26,24.55,90,180,32.73,7.70,40.35,0.45,23.52,90
TMS18F1341P0044,2,0,4,192,9,64,11.72,2,84.92,26.716,2,44.55,35.15,35,176,46.87,12.68,59.40,0.44,27.05,45
TMS18F1020P0027,2,0,3,175,6,53,14.30,3,78.94,31.164,1,37.96,17.2,50.4,152,22.93,6.65,50.61,0.31,28.99,54
TMS18F1364P0022,2,0,3,178,5,37,20.93,3,73.36,22.606,2,25.35,20,58,152,26.67,9.06,33.80,0.44,33.97,59
TMS18F1280P0151,2,3,3,153,6,32,18.44,4,63.04,24.38,1,19.37,13.5,61,152,18.00,5.78,25.83,0.41,32.10,63
TMS18F1348P0156,2,0,2,186,9,61,24.55,3,76.48,21.556,3,40.39,28.25,128,174.4,37.67,13.82,53.85,0.41,36.69,127
TMS18F1307P0001,2,4,3,143,5,31,16.33,2,99.14,23.13,1,20.06,8.8,37,130,11.73,3.58,26.75,0.30,30.52,34
TMEB419,2,2,,186,6,47,15.48,1,,24.898,2,31.58,23.95,,157.8,31.93,9.54,42.11,0.43,29.88,
TMS18F1114P0039,2,3,3,157,7,28,15.33,3,75.37,23.396,1,27.24,12.65,29,142,16.87,5.02,36.32,0.32,29.76,30
TMS18F1350P0026,2,3,2,156,9,55,21.64,3,67.80,20.606,2,30.12,19.15,99.4,150,25.53,8.81,40.16,0.39,34.50,
TMS18F1372P0041,2,0,1,159,7,46,19.93,2,59.11,20.39,2,32.8,17.55,101,149,23.40,7.77,43.73,0.35,33.22,99
TMS18F1520P0050,2,0,3,180,6,80,12.75,3,86.61,23.288,2,40.15,29.4,41,171,39.20,10.91,53.53,0.42,27.83,40.2
TMS18F1344P0176,2,0,4,165,7,62,17.26,2,66.90,22.934,2,49.02,25.4,25,184,33.87,10.57,65.36,0.34,31.21,32
TMS18F1338P0115,2,3,2,119,7,38,,3,63.16,18.7,4,13.55,4.15,84,110,5.53,,18.07,0.23,,77.4
TMS18F1295P0034,2,0,,,2,22,11.24,,,,2,22.6,10.35,,,13.80,3.68,30.13,0.31,26.69,
TMS18F1388P0012,2,4,3,177,7,42,13.12,3,89.87,29.756,1,44.18,14.95,54,162,19.93,5.60,58.91,0.25,28.11,53
IITA-TMS-IBA980581,2,0,1,198,7,65,13.56,3,77.60,28.796,2,37.23,24.75,124,189,33.00,9.38,49.64,0.40,28.44,
TMS18F1156P0016,2,0,3,166,8,72,16.22,2,76.34,25.834,2,30.68,22.89,20.4,160,30.52,9.29,40.91,0.43,30.43,24.4
TMS18F1081P0014,2,5,,186,9,68,18.60,1,,22.498,2,35.95,26.85,,172,35.80,11.53,47.93,0.43,32.22,
TMS18F1350P0056,2,1,3,139,7,50,16.52,3,68.39,22.05,2,19.52,20.35,50,123,27.13,8.32,26.03,0.51,30.66,53
TMS18F1348P0095,2,0,3,143,8,76,18.43,3,81.35,23.542,2,26.4,27.65,61,134,36.87,11.83,35.20,0.51,32.09,63
TMS18F1436P0053,2,1,2,122,7,26,21.53,3,67.49,21.994,1,20.25,8.6,63,108,11.47,3.95,27.00,0.30,34.42,66
TMS18F1354P0027,2,0,2,141,6,49,17.24,3,66.98,22.128,2,32.27,28,60,128,37.33,11.65,43.03,0.46,31.20,60
IITA-TMS-IBA982101,2,0,2,135,7,76,13.95,3,85.58,23.346,1,40.79,29.8,44.4,118,39.73,11.41,54.39,0.42,28.73,54
TMS18F1372P0001,2,2,,,3,16,15.48,,,,1,6,6.45,,,8.60,2.57,8.00,0.52,29.88,
TMS18F1019P0018,2,4,,,5,21,8.61,,,,3,18.92,5.2,,95,6.93,1.71,25.23,0.22,24.72,
TMS18F1001P0014,2,,,,,,,,,,,,,,,,,,,,
TMS18F1064P0027,2,0,,102,4,43,7.37,,,,2,29.26,33.8,,82,45.07,10.72,39.01,0.54,23.79,
TMS18F1024P0020,2,0,2,113,6,40,11.27,2,76.63,20.108,2,25.96,22.9,51,99,30.53,8.16,34.61,0.47,26.72,52
IITA-TMS-IBA30572,2,1,3,147,6,49,11.65,3,86.09,24.928,1,42.29,22.85,49,130,30.47,8.23,56.39,0.35,27.00,56
TMS18F1280P0086,2,3,,183,8,56,20.07,1,,20.248,2,32.53,27.05,,145,36.07,12.02,43.37,0.45,33.33,
TMS18F1280P0057,2,6,2,130,5,32,19.53,3,84.37,22.388,2,25.14,16.95,42.4,116.4,22.60,7.44,33.52,0.40,32.92,48
TMS18F1480P0023,2,0,,112,4,34,16.92,,,,1,12.45,21.95,,95,29.27,9.06,16.60,0.64,30.96,
TMS18F1330P0008,2,1,,,2,24,16.51,,,,2,15.86,11.15,,,14.87,4.56,21.15,0.41,30.65,
TMS18F1408P0006,2,2,1,141,4,59,14.38,3,74.98,22.922,1,31.72,29.05,74,128,38.73,11.25,42.29,0.48,29.05,67
TMS18F1317P0119,2,7,2,116,8,23,16.65,2,66.10,18.614,1,22.02,9.55,59,120.8,12.73,3.92,29.36,0.30,30.75,46
TMEB419,2,4,,169,8,50,15.14,1,,20.204,1,46.16,36,,152,48.00,14.22,61.55,0.44,29.62,
TMS18F1135P0025,2,2,,,3,12,,,,,1,7.8,8.2,,124,10.93,,10.40,0.51,,
TMS18F1421P0005,2,2,,153,7,57,10.89,3,80.37,22.512,2,27.15,28.3,,140,37.73,9.97,36.20,0.51,26.43,57
TMS18F1278P0118,2,0,3,142,7,56,23.10,2,86.61,18.006,2,28.4,25.35,42,126,33.80,12.03,37.87,0.47,35.60,45
TMS18F1350P0082,2,0,,,4,25,16.79,,,,2,26.94,15.65,,,20.87,6.44,35.92,0.37,30.86,
TMS18F1317P0123,2,1,2,149,6,38,17.05,3,69.78,18.996,2,28.7,19.65,73.4,134,26.20,8.14,38.27,0.41,31.06,76.4
TMS18F1369P0015,2,3,4,137.4,8,35,19.23,3,76.69,21.216,2,26.4,19.25,31,132,25.67,8.39,35.20,0.42,32.70,33
TMS18F1058P0020,2,1,,,2,11,,,,,1,1.74,7.3,,,9.73,,2.32,0.81,,
TMS18F1085P0012,2,1,,,3,18,8.97,,,,2,19.55,12.5,,,16.67,4.17,26.07,0.39,24.99,
TMS18F1476P0047,2,0,3,137,8,65,18.86,3,74.10,21.508,2,21.95,32.4,29,133,43.20,14.00,29.27,0.60,32.41,32
IITA-TMS-IBA982101,2,0,2,141,4,46,12.80,2,77.34,24.452,1,31.34,21.8,66,122,29.07,8.10,41.79,0.41,27.87,
TMS18F1076P0110,2,1,,175,6,55,16.76,1,,20.568,3,32.84,44.15,,149,58.87,18.15,43.79,0.57,30.84,
TMS18F1421P0025,2,4,,127,3,5,,3,69.23,19.342,2,5.3,1.05,,120,1.40,,7.07,0.17,,
TMS18F1414P0014,2,1,2,124,8,57,15.97,2,70.91,20.088,2,26.44,28.25,68,105.4,37.67,11.39,35.25,0.52,30.24,66
TMS18F1318P0016,2,2,,,3,35,13.23,,,,3,13.45,20.85,,,27.80,7.84,17.93,0.61,28.19,
TMS18F1305P0007,2,2,4,165,7,49,18.76,2,89.86,25.294,2,28.45,25.95,41,163,34.60,11.19,37.93,0.48,32.34,42.6
TMS18F1350P0038,2,0,1,119,7,47,19.63,3,87.02,17.092,2,14.8,18.85,75,101,25.13,8.29,19.73,0.56,33.00,74.4
TMS18F1317P0059,2,0,2,132,9,78,20.04,2,75.28,18.338,3,30.22,32.25,92,122,43.00,14.32,40.29,0.52,33.31,93
TMS18F1278P0183,2,3,,162,9,60,18.81,3,83.38,23.38,2,34.58,37.75,,139,50.33,16.30,46.11,0.52,32.38,
TMS18F1485P0020,2,0,3,145,8,32,18.37,2,92.09,21.766,2,17.5,11.55,34,131,15.40,4.94,23.33,0.40,32.05,32
TMS18F1026P0009,2,0,3,157,6,26,20.20,2,77.29,21.742,2,28.73,14.05,43,131,18.73,6.26,38.31,0.33,33.42,
TMS18F1338P0067,2,0,2,154,8,59,17.46,2,81.60,23.466,3,39.03,34,78.4,143,45.33,14.22,52.04,0.47,31.37,77
TMS18F1175P0016,2,,,,,,,,,11.474,2,,,,,,,,,,
TMS18F1233p0013,2,6,4,137,7,22,,3,88.36,22.294,1,21.58,4.84,39,128,6.45,,28.77,0.18,,40.4
TMS18F1371P0011,2,0,,148,9,68,12.64,3,68.64,27.888,3,39.45,30.1,,134,40.13,11.13,52.60,0.43,27.74,60
TMS18F1189P0013,2,4,3,151,8,57,12.52,3,89.74,24.932,2,48.87,22.15,51.4,142,29.53,8.17,65.16,0.31,27.65,48
TMS18F1278P0098,2,1,2,162,7,63,15.35,3,81.57,21.512,2,23.3,19.9,77.4,153,26.53,7.90,31.07,0.46,29.78,75
TMS18F1319P0121,2,7,2,184.4,9,38,17.89,3,87.12,23.522,2,38.33,9.1,71,178,12.13,3.84,51.11,0.19,31.69,71
TMS18F1076P0077,2,0,2,179,9,65,17.46,2,79.39,21.106,2,19.42,13.95,90.4,154,18.60,5.83,25.89,0.42,31.37,83
TMS18F1409P0008,2,0,3,202,5,49,17.95,3,72.26,30.416,1,25.04,18,64,200.4,24.00,7.62,33.39,0.42,31.74,65
TMS18F1366P0012,2,4,3,190,9,68,8.01,2,86.48,25.782,1,37.57,29.7,45,177,39.60,9.61,50.09,0.44,24.27,45.4
TMS18F1163P0042,2,0,3,143,9,80,21.90,3,75.61,22.38,2,28.62,21.7,33.4,128,28.93,10.04,38.16,0.43,34.70,40
TMS18F1323P0024,2,1,,131,8,66,22.26,3,77.68,19.194,2,21.51,21.35,,116.2,28.47,9.95,28.68,0.50,34.97,
IITA-TMS-IBA000070,2,0,2,153,9,63,14.76,3,75.28,19.724,2,32.47,29.85,60,140,39.80,11.67,43.29,0.48,29.33,52
TMS18F1028P0030,2,5,4,191,9,49,,3,93.03,24.244,1,32.46,8.25,43,194,11.00,,43.28,0.20,,41
TMS18F1340P0030,2,1,,169,9,105,18.16,2,28.56,19.484,4,40.27,41.05,,141,54.73,17.46,53.69,0.50,31.89,
TMS18F1345P0012,2,0,4,130,7,62,22.14,2,71.94,22.714,2,33.35,24.8,19,114,33.07,11.53,44.47,0.43,34.88,24.4
TMS18F1005P0023,2,0,2,143,8,98,17.31,3,66.88,19.578,3,36.58,26.55,92,129.2,35.40,11.06,48.77,0.42,31.25,99
TMS18F1308P0082,2,3,1,131,8,56,15.24,3,72.59,19.778,2,22.21,22.25,76,115,29.67,8.81,29.61,0.50,29.70,75.4
TMS18F1298P0017,2,1,3,157,8,56,20.16,4,68.66,24.558,2,38.96,19.9,71,139,26.53,8.86,51.95,0.34,33.39,68
TMS18F1312P0039,2,2,,161,6,51,17.15,3,77.14,22.646,2,38.25,17.78,,132.4,23.71,7.38,51.00,0.32,31.13,90.4
TMS18F1352P0049,2,2,2,150,6,65,15.14,3,76.45,23.574,2,31.6,31,52,134,41.33,12.24,42.13,0.50,29.62,64
TMS18F1345P0056,2,3,,,3,47,13.29,,,,2,23.71,18.2,,,24.27,6.85,31.61,0.43,28.23,
TMS18F1047P0046,2,0,,123,9,50,18.90,3,75.80,20.392,1,24.86,21.85,,101,29.13,9.45,33.15,0.47,32.44,
TMS18F1217P0075,2,0,,107,8,82,18.18,3,82.79,21.556,2,22.58,26.8,,92,35.73,11.40,30.11,0.54,31.91,
IITA-TMS-IBA980581,2,3,,139,6,46,8.50,2,30.78,18.12,2,29.36,17.85,,120.4,23.80,5.86,39.15,0.38,24.64,
TMS18F1048P0023,2,3,,165,5,33,17.11,3,55.23,20.364,1,22.72,9.35,,143,12.47,3.88,30.29,0.29,31.10,
TMS18F1353P0038,2,4,,195,6,36,16.28,1,13.99,19.242,2,19.6,17.3,,150.8,23.07,7.03,26.13,0.47,30.48,
IITA-TMS-IBA30572,2,2,2,143,5,56,13.62,3,76.92,24.632,2,61.08,17.55,62,131,23.40,6.66,81.44,0.22,28.48,77
TMS18F1447P0045,2,1,,,3,26,10.55,,,,1,29.6,13.85,,,18.47,4.83,39.47,0.32,26.18,
TMS18F1342P0017,2,2,,107,7,53,12.31,2,29.57,19.1,3,33.92,21.95,,98,29.27,8.05,45.23,0.39,27.50,
TMS18F1258P0062,2,,,,,,,,,,,,,,,,,,,,
TMS18F1318P0018,2,4,,138,6,31,16.35,3,76.32,17.172,3,22.75,12.65,,122,16.87,5.15,30.33,0.36,30.53,
TMS18F1313P0053,2,0,2,162,5,49,18.72,3,78.22,25.194,1,36,24.1,72.2,154,32.13,10.38,48.00,0.40,32.31,73
TMS18F1343P0064,2,2,1,145,9,56,20.05,3,74.28,19.642,3,32.46,23.8,100,129,31.73,10.57,43.28,0.42,33.31,100.4
TMS18F1291P0014,2,1,2,168,5,67,17.06,,,,3,32.9,27.1,46,148,36.13,11.22,43.87,0.45,31.07,54
TMS18F1296P0071,2,2,2,169,3,31,19.26,3,84.09,24.858,1,25.7,14.65,71,150,19.53,6.39,34.27,0.36,32.72,72
TMS18F1217P0111,2,2,,134,7,38,18.23,1,10.27,23.33,2,29.71,21.25,,106,28.33,9.05,39.61,0.42,31.94,
TMS13F1343P0044,2,0,,114,4,28,17.29,3,57.48,20.92,2,32.34,18.15,,106,24.20,7.56,43.12,0.36,31.24,
TMS18F1481P0015,2,,,,,,,,,,,,,,,,,,,,
TMS18F1127P0010,2,1,2,140,7,58,16.78,3,81.67,24.282,2,45.84,20.8,44,128,27.73,8.56,61.12,0.31,30.86,43
TMS18F1068P0063,2,0,,,2,19,11.76,,,,2,26.27,13.8,,,18.40,4.98,35.03,0.34,27.08,
UNKNOWN2,2,3,,164,8,34,8.60,2,37.25,18.994,3,38.84,12.5,,141,16.67,4.12,51.79,0.24,24.71,
TMS18F1040P0054,2,1,,,4,32,11.21,,,,2,31.45,21.45,,,28.60,7.63,41.93,0.41,26.67,
IITA-TMS-IBA000070,2,,,,,,,,,11.982,2,,,,,,,,,,
TMS18F1505P0047,2,1,2,164,9,51,17.73,2,79.33,20.322,2,29.85,22.35,59,149,29.80,9.41,39.80,0.43,31.57,60
TMS18F1489P0044,2,0,3,173,4,52,16.21,3,79.81,22.238,2,29.25,17.1,41,161,22.80,6.94,39.00,0.37,30.43,50
TMS18F1348P0131,2,0,3,199,8,74,21.99,3,85.64,22.56,2,46.07,32.4,67,184,43.20,15.02,61.43,0.41,34.77,68
TMS13F1020P0001,2,3,3,139,6,29,11.08,2,64.73,21.392,2,17.65,9.7,32,136,12.93,3.44,23.53,0.35,26.57,32
IITA-TMS-IBA980581,2,1,1,206,8,55,11.56,3,78.88,25.692,1,36.5,20.4,102,193,27.20,7.33,48.67,0.36,26.93,104
TMS13F1307P0016,2,0,3,191,8,55,17.67,2,90.10,23.286,1,32.24,19.15,40,176,25.53,8.05,42.99,0.37,31.52,43
TMS18F1336P0015,2,0,,186,9,80,19.69,2,27.16,24.122,2,28.83,25.4,,166.4,33.87,11.19,38.44,0.47,33.04,
TMS18F1113P0038,2,0,2,174,6,56,18.64,3,82.32,25.604,2,28.87,13.15,81,176,17.53,5.65,38.49,0.31,32.25,71
TMS18F1258P0147,2,0,3,171,9,76,16.82,3,85.29,25.282,2,42.49,23.25,42,163,31.00,9.57,56.65,0.35,30.88,43
TMS18F1447P0078,2,2,5,126,3,5,,,,,1,13.55,1.25,22.6,122,1.67,,18.07,0.08,,25.4
TMS18F1305P0039,2,4,3,148,6,22,15.38,2,88.91,24.694,1,31.84,11.1,36,134.6,14.80,4.41,42.45,0.26,29.80,55
TMS18F1295P0023,2,9,,191,9,56,18.60,2,43.34,21.194,6,40.05,10.85,,172,14.47,4.66,53.40,0.21,32.22,
TMS18F1349P0064,2,0,1,148,8,64,14.10,3,73.50,19.916,2,21.2,24.85,97.4,134,33.13,9.56,28.27,0.54,28.84,99.6
TMS18F1414P0017,2,0,2,166,8,67,16.56,3,70.44,20.896,2,35.24,21.4,69.4,149,28.53,8.76,46.99,0.38,30.69,82
TMS18F1308P0114,2,1,3,190,5,26,15.54,3,75.94,24.368,1,21.45,11.2,40.6,175,14.93,4.47,28.60,0.34,29.93,38
TMS18F1296P0042,2,1,3,186,6,42,13.50,3,87.84,24.922,2,32.11,15,59,175,20.00,5.68,42.81,0.32,28.39,62
IITA-TMS-IBA982101,2,1,2,191,9,54,15.70,2,83.53,23.27,2,46.53,22.9,87,178,30.53,9.17,62.04,0.33,30.04,74.4
TMS18F1335P0001,2,1,2,161,9,62,17.15,3,102.63,24.83,1,23.25,21.15,62,153.8,28.20,8.78,31.00,0.48,31.13,61
TMS18F1478P0047,2,1,1,164,9,64,16.42,3,82.70,25.26,2,28.57,23.3,105,149,31.07,9.50,38.09,0.45,30.58,
TMS18F1319P0100,2,0,3,160.6,8,74,18.18,3,68.85,23.606,2,38,20.4,64,156,27.20,8.68,50.67,0.35,31.90,56
TMS18F1506P0018,2,1,2,172,7,68,15.61,3,80.55,22.17,2,48.75,30,80,153,40.00,11.99,65.00,0.38,29.97,86
IITA-TMS-IBA30572,2,4,2,157,6,28,,3,85.60,23.486,1,23.1,5.7,63,144,7.60,,30.80,0.20,,71
TMS18F1355p0038,2,7,3,163,6,47,16.08,2,84.44,25.628,2,47.85,12.9,34,142,17.20,5.22,63.80,0.21,30.33,39
TMS18F1038P0010,2,0,2,106,6,52,15.25,2,78.91,19.038,1,22.45,23.25,22,100,31.00,9.21,29.93,0.51,29.71,25
TMS18F1324P0107,2,0,,150,7,67,15.85,1,,19.192,2,36.87,29.85,,129,39.80,12.00,49.16,0.45,30.16,
TMS18F1539P0063,2,0,1,147,7,50,16.98,3,76.66,22.648,2,32.1,30.9,78.4,121,41.20,12.77,42.80,0.49,31.00,67
TMS18F1348P0024,2,0,2,125,4,25,,3,64.45,24.954,1,19,7.1,47,114,9.47,,25.33,0.27,,52
TMS18F1359P0001,2,0,2,149,8,84,18.73,3,72.62,22.642,2,36.8,30.9,62,133,41.20,13.32,49.07,0.46,32.32,63
TMEB419,2,0,,156,9,40,17.85,1,17.49,20.444,3,31.35,24.65,,130,32.87,10.40,41.80,0.44,31.66,
TMS18F1314P0026,2,0,5,165,4,27,20.33,2,100.98,20.31,1,22.84,8.05,20,154,10.73,3.60,30.45,0.26,33.52,18
TMS18F1345P0043,2,0,2,144,9,58,18.07,3,68.64,24.2,2,39.01,20.95,93,124,27.93,8.89,52.01,0.35,31.82,97
TMS18F1001P0020,2,3,2,148,5,12,,3,82.93,25.418,2,12.4,3.8,63,145,5.07,,16.53,0.23,,59
TMS18F1312P0033,2,0,4,123,5,39,18.98,2,70.67,17.504,2,31.71,21.35,29,120,28.47,9.25,42.28,0.40,32.51,27
TMS18F1348P0039,2,1,,,5,24,14.77,,,,1,14.39,11.15,,107,14.87,4.36,19.19,0.44,29.34,82
TMS18F1505P0057,2,0,,113,6,47,12.67,1,,20.632,3,37.1,30.25,,92,40.33,11.20,49.47,0.45,27.77,
TMS18F1076P0117,2,4,,130,5,10,,1,,17.188,2,9.35,3.65,,120,4.87,,12.47,0.28,,
TMS18F1395P0055,2,0,2,105,8,64,19.42,3,77.79,21.848,2,39.63,23.95,50,99,31.93,10.49,52.84,0.38,32.83,43
TMS18F1343P0014,2,,,,,,,,,,,,,,,,,,,,
TMS18F1277P0007,2,0,,,2,15,14.01,,,,2,16.66,9.1,,,12.13,3.49,22.21,0.35,28.78,
TMS18F1076P0001,2,0,,,1,11,,,,,1,10.5,4.7,,,6.27,,14.00,0.31,,
TMS18F1334P0023,2,3,1,113,9,31,20.68,2,86.77,18.512,2,29.75,15.5,67,108,20.67,6.98,39.67,0.34,33.78,68
TMS13F1343P0022,2,1,3,123,8,68,20.26,2,75.86,20.226,2,29.7,30.9,35.4,109,41.20,13.79,39.60,0.51,33.46,30
TMS18F1038P0056,2,2,2,93,7,43,16.61,3,69.34,19.156,3,23.35,10.9,48,82,14.53,4.47,31.13,0.32,30.73,49
TMS18F1424P0020,2,0,,143,6,53,8.51,1,,21.422,2,36.9,22.85,,120,30.47,7.51,49.20,0.38,24.64,
IITA-TMS-IBA30572,2,0,,,3,17,,,,,1,16.79,5.95,,,7.93,,22.39,0.26,,
TMS18F1377P0023,2,2,,,3,25,9.99,,,,2,23.77,10.5,,,14.00,3.61,31.69,0.31,25.76,
TMS18F1205P0010,2,2,2,138,4,27,14.26,3,80.41,25.796,2,25.9,12.3,46,129,16.40,4.75,34.53,0.32,28.96,48
TMS18F1295P0035,2,4,,151.4,8,38,18.31,3,55.80,20.682,2,27.85,19.85,,140,26.47,8.47,37.13,0.42,32.00,
TMS18F1165P0018,2,1,2,138,9,69,17.08,3,69.21,19.792,2,24.2,23.05,71,120,30.73,9.55,32.27,0.49,31.08,71
TMS18F1436P0049,2,1,2,166,7,54,23.57,3,61.81,19.168,3,24.55,21.55,89,154,28.73,10.33,32.73,0.47,35.95,91
TMS18F1355P0120,2,9,4,188.4,9,31,18.03,2,75.50,23.692,2,41.75,7.1,39,181,9.47,3.01,55.67,0.15,31.79,46
TMS18F1222P0012,2,0,,,4,32,10.18,,,,2,23.47,13.15,,,17.53,4.54,31.29,0.36,25.90,
